代號,名稱,成交,財報季度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),累季ROE(%),累季ROE增減,年估ROE(%),累季ROA(%),累季ROA增減,年估ROA(%),財報評分,stock_id,filter_reason
"=""6903""",巨漢,304.5,25Q4,36.0,24.9,9.97,14.0,7.06,18.7,27.7,-2.64,19.6,-1.02,10.62,1.34,21.8,-0.28,21.8,15.9,-1.58,15.9,66,6903,盈虧比不足或已破支撐
"=""6906""",現觀科,68.7,25Q4,3.48,-11.6,3.02,-9.05,0.61,-48.6,86.8,2.42,17.6,-12.7,1.87,-1.69,7.28,-8.88,7.28,6.0,-7.1,6.0,66,6906,成交值僅 0.0 億
"=""6914""",阜爾運通,150.0,25Q4,56.8,20.4,12.4,29.0,6.36,38.6,21.9,1.47,11.2,1.47,9.6,2.46,17.8,1.78,17.8,6.53,0.94,6.53,55,6914,成交值僅 0.1 億
"=""6924""",榮惠-KY創,78.0,25Q4,16.9,-3.92,3.8,-6.21,1.18,-16.9,22.4,-0.55,6.99,-1.09,5.68,-1.62,20.4,-10.9,20.4,11.0,-4.5,11.0,52,6924,成交值僅 0.0 億
"=""6951""",青新-創,79.2,25Q4,8.66,23.9,5.1,26.9,2.48,17.6,59.0,1.39,28.6,-1.43,5.39,0.52,22.3,-2.03,22.3,15.6,-0.26,15.6,85,6951,成交值僅 0.1 億
"=""6953""",家碩,215.5,25Q4,13.2,1.72,6.09,6.22,2.4,-0.03,46.0,1.95,18.1,-0.32,7.99,-0.26,15.1,-5.75,15.1,9.18,-1.4,9.18,66,6953,成交值僅 0.1 億
"=""6996""",力領科技,169.5,25Q4,26.9,-9.4,10.8,-9.57,5.06,-14.0,40.2,-0.08,18.8,-1.01,12.15,-3.22,18.6,-8.24,18.6,14.6,-5.74,14.6,68,6996,成交值僅 0.1 億
"=""7631""",聚賢研發-創,116.0,25Q4,11.0,29.6,3.03,14.1,1.26,36.7,27.5,-3.73,11.5,0.6,6.56,1.05,18.7,0.05,18.7,10.1,-0.34,10.1,64,7631,成交值僅 0.0 億
"=""7713""",威力德生醫,72.5,25Q4,11.1,11.9,3.71,17.3,2.09,22.5,33.4,1.53,18.8,1.63,4.64,0.55,19.2,-0.17,19.2,9.38,0.24,9.38,57,7713,成交值僅 0.0 億
"=""7714""",創泓科技,131.0,25Q4,18.0,45.1,3.44,25.3,1.32,40.0,19.1,-3.01,7.33,-0.27,6.33,1.26,30.8,-3.08,30.8,15.7,0.74,15.7,55,7714,成交值僅 0.1 億
"=""7750""",新代,1340.0,25Q4,140.0,29.2,63.9,34.8,22.8,66.3,45.8,1.9,16.4,3.65,35.12,12.81,28.1,-6.22,28.1,16.9,0.47,16.9,70,7750,技術面未達標
"=""7757""",金色三麥,107.0,25Q4,23.0,4.2,12.6,3.25,2.01,-8.5,54.8,-0.5,8.79,-1.23,8.97,-1.04,20.5,-6.32,20.5,11.2,-2.59,11.2,64,7757,成交值僅 0.0 億
